"id","year","month","day","from_time","to_time","court","odds","created_at","updated_at","delete_flg","apply_court","empty_court"
249,2020,3,14,13,15,"3",11.88,2020/02/01 8:14:45.464,2020/02/10 19:24:05.383,"0",95,8
250,2020,3,14,15,17,"3",11.25,2020/02/01 8:14:45.561,2020/02/10 19:24:05.483,"0",90,8
251,2020,3,15,9,11,"0",6.12,2020/02/01 8:15:03.378,2020/02/10 19:24:08.211,"0",49,8
252,2020,3,15,11,13,"0",9.00,2020/02/01 8:15:03.466,2020/02/10 19:24:08.295,"0",72,8
253,2020,3,15,13,15,"0",13.12,2020/02/01 8:15:03.551,2020/02/10 19:24:08.381,"0",105,8
254,2020,3,15,15,17,"0",9.12,2020/02/01 8:15:03.639,2020/02/10 19:24:08.467,"0",73,8
191,2020,3,1,13,15,"2",7.00,2020/02/01 8:12:28.534,2020/02/10 19:23:23.589,"0",56,8
255,2020,3,15,17,19,"0",2.62,2020/02/01 8:15:03.723,2020/02/10 19:24:08.554,"0",21,8
256,2020,3,15,19,21,"0",0.38,2020/02/01 8:15:03.807,2020/02/10 19:24:08.643,"0",3,8
182,2020,3,1,15,17,"0",6.12,2020/02/01 8:12:13.787,2020/02/10 19:23:17.704,"0",49,8
183,2020,3,1,17,19,"0",4.00,2020/02/01 8:12:14.016,2020/02/10 19:23:17.872,"0",32,8
184,2020,3,1,19,21,"0",0.88,2020/02/01 8:12:14.171,2020/02/10 19:23:17.960,"0",7,8
185,2020,3,1,9,11,"1",5.62,2020/02/01 8:12:21.242,2020/02/10 19:23:20.672,"0",90,16
186,2020,3,1,11,13,"1",5.12,2020/02/01 8:12:21.334,2020/02/10 19:23:20.760,"0",82,16
187,2020,3,1,13,15,"1",4.81,2020/02/01 8:12:21.426,2020/02/10 19:23:20.861,"0",77,16
188,2020,3,1,15,17,"1",4.50,2020/02/01 8:12:21.510,2020/02/10 19:23:20.955,"0",72,16
193,2020,3,1,9,11,"3",7.62,2020/02/01 8:12:35.414,2020/02/10 19:23:26.395,"0",61,8
268,2020,3,15,15,17,"3",10.62,2020/02/01 8:15:29.280,2020/02/10 19:24:17.603,"0",85,8
269,2020,3,20,9,11,"0",6.62,2020/02/01 8:15:37.249,2020/02/10 19:24:20.329,"0",53,8
270,2020,3,20,11,13,"0",5.75,2020/02/01 8:15:37.373,2020/02/10 19:24:20.415,"0",46,8
271,2020,3,20,13,15,"0",5.00,2020/02/01 8:15:37.480,2020/02/10 19:24:20.499,"0",40,8
273,2020,3,20,17,19,"0",1.88,2020/02/01 8:15:37.772,2020/02/10 19:24:20.667,"0",15,8
